#employee_id,first_name,last_name,email,phone_number,hire_date,job_id,salary,manager_id,department_id
200,Jennifer,Whalen,jennifer.whalen@sqltutorial.org,515.123.4444,09/17/1987 00:00:00,3,4400.00,101,1
202,Pat,Fay,pat.fay@sqltutorial.org,603.123.6666,08/17/1997 00:00:00,11,6000.00,201,2
201,Michael,Hartstein,michael.hartstein@sqltutorial.org,515.123.5555,02/17/1996 00:00:00,10,13000.00,100,2
119,Karen,Colmenares,karen.colmenares@sqltutorial.org,515.127.4566,08/10/1999 00:00:00,13,2500.00,114,3
118,Guy,Himuro,guy.himuro@sqltutorial.org,515.127.4565,11/15/1998 00:00:00,13,2600.00,114,3
117,Sigal,Tobias,sigal.tobias@sqltutorial.org,515.127.4564,07/24/1997 00:00:00,13,2800.00,114,3
116,Shelli,Baida,shelli.baida@sqltutorial.org,515.127.4563,12/24/1997 00:00:00,13,2900.00,114,3
115,Alexander,Khoo,alexander.khoo@sqltutorial.org,515.127.4562,05/18/1995 00:00:00,13,3100.00,114,3
114,Den,Raphaely,den.raphaely@sqltutorial.org,515.127.4561,12/07/1994 00:00:00,14,11000.00,100,3
203,Susan,Mavris,susan.mavris@sqltutorial.org,515.123.7777,06/07/1994 00:00:00,8,6500.00,101,4
193,Britney,Everett,britney.everett@sqltutorial.org,650.501.2876,03/03/1997 00:00:00,17,3900.00,123,5
192,Sarah,Bell,sarah.bell@sqltutorial.org,650.501.1876,02/04/1996 00:00:00,17,4000.00,123,5
126,Irene,Mikkilineni,irene.mikkilineni@sqltutorial.org,650.124.1224,09/28/1998 00:00:00,18,2700.00,120,5
123,Shanta,Vollman,shanta.vollman@sqltutorial.org,650.123.4234,10/10/1997 00:00:00,19,6500.00,100,5
122,Payam,Kaufling,payam.kaufling@sqltutorial.org,650.123.3234,05/01/1995 00:00:00,19,7900.00,100,5
121,Adam,Fripp,adam.fripp@sqltutorial.org,650.123.2234,04/10/1997 00:00:00,19,8200.00,100,5
120,Matthew,Weiss,matthew.weiss@sqltutorial.org,650.123.1234,07/18/1996 00:00:00,19,8000.00,100,5
107,Diana,Lorentz,diana.lorentz@sqltutorial.org,590.423.5567,02/07/1999 00:00:00,9,4200.00,103,6
106,Valli,Pataballa,valli.pataballa@sqltutorial.org,590.423.4560,02/05/1998 00:00:00,9,4800.00,103,6
105,David,Austin,david.austin@sqltutorial.org,590.423.4569,06/25/1997 00:00:00,9,4800.00,103,6
104,Bruce,Ernst,bruce.ernst@sqltutorial.org,590.423.4568,05/21/1991 00:00:00,9,6000.00,103,6
103,Alexander,Hunold,alexander.hunold@sqltutorial.org,590.423.4567,01/03/1990 00:00:00,9,9000.00,102,6
204,Hermann,Baer,hermann.baer@sqltutorial.org,515.123.8888,06/07/1994 00:00:00,12,10000.00,101,7
179,Charles,Johnson,charles.johnson@sqltutorial.org,,01/04/2000 00:00:00,16,6200.00,100,8
178,Kimberely,Grant,kimberely.grant@sqltutorial.org,,05/24/1999 00:00:00,16,7000.00,100,8
177,Jack,Livingston,jack.livingston@sqltutorial.org,,04/23/1998 00:00:00,16,8400.00,100,8
176,Jonathon,Taylor,jonathon.taylor@sqltutorial.org,,03/24/1998 00:00:00,16,8600.00,100,8
146,Karen,Partners,karen.partners@sqltutorial.org,,01/05/1997 00:00:00,15,13500.00,100,8
145,John,Russell,john.russell@sqltutorial.org,,10/01/1996 00:00:00,15,14000.00,100,8
102,Lex,De Haan,lex.de haan@sqltutorial.org,515.123.4569,01/13/1993 00:00:00,5,17000.00,100,9
101,Neena,Kochhar,neena.kochhar@sqltutorial.org,515.123.4568,09/21/1989 00:00:00,5,17000.00,100,9
100,Steven,King,steven.king@sqltutorial.org,515.123.4567,06/17/1987 00:00:00,4,24000.00,,9
113,Luis,Popp,luis.popp@sqltutorial.org,515.124.4567,12/07/1999 00:00:00,6,6900.00,108,10
112,Jose Manuel,Urman,jose manuel.urman@sqltutorial.org,515.124.4469,03/07/1998 00:00:00,6,7800.00,108,10
111,Ismael,Sciarra,ismael.sciarra@sqltutorial.org,515.124.4369,09/30/1997 00:00:00,6,7700.00,108,10
110,John,Chen,john.chen@sqltutorial.org,515.124.4269,09/28/1997 00:00:00,6,8200.00,108,10
109,Daniel,Faviet,daniel.faviet@sqltutorial.org,515.124.4169,08/16/1994 00:00:00,6,9000.00,108,10
108,Nancy,Greenberg,nancy.greenberg@sqltutorial.org,515.124.4569,08/17/1994 00:00:00,7,12000.00,101,10
206,William,Gietz,william.gietz@sqltutorial.org,515.123.8181,06/07/1994 00:00:00,1,8300.00,205,11
205,Shelley,Higgins,shelley.higgins@sqltutorial.org,515.123.8080,06/07/1994 00:00:00,2,12000.00,101,11
